régionCNC;N° auto;nom;région administrative;adresse;code INSEE;commune;population de la commune;DEP;N°UU;unité urbaine;population unité urbaine;situation géographique;écrans;fauteuils;semaines d'activité;séances;entrées 2022;entrées 2021;évolution entrées;tranche d'entrées;programmateur;AE;catégorie Art et Essai;label Art et Essai;genre;multiplexe;zone de la commune;nombre de films programmés;nombre de films inédits;nombre de films en semaine 1;PdM en entrées des films français;PdM en entrées des films américains;PdM en entrées des films européens;PdM en entrées des autres films;films Art et Essai;PdM en entrées des films Art et Essai;latitude;longitude;geolocalisation
1;733;STUDIO GALANDE;ILE-DE-FRANCE;42 RUE GALANDE;75105;Paris 5e Arrondissement;58050.0;75;00851;Paris;10949158.0;01-Paris;1.0;97.0;53.0;996.0;13643.0;8084.0;68.76546264225631;De 10 à 20 000 entrées;;OUI;A;;FIXE;NON;C;155.0;110.0;4.0;25.68362246398118;4.697147897677153;53.33725374889738;16.28197588944428;115.0;87.83446045280799;48.851619;2.347076;48.851619, 2.347076
1;821;PARNASSIEN;ILE-DE-FRANCE;98 BD DU MONTPARNASSE;75114;Paris 14e Arrondissement;134926.0;75;00851;Paris;10949158.0;01-Paris;7.0;842.0;53.0;13507.0;216828.0;95714.0;126.53739264893326;De 200 à 300 000 entrées;;OUI;A;RD;FIXE;NON;C;248.0;153.0;134.0;63.362176785036;5.584635766497744;15.321153614541547;15.732033833924715;201.0;94.58166186457166;48.842443;2.327625;48.842443, 2.327625
1;1031;PUBLICIS ELYSEES;ILE-DE-FRANCE;133 AV DES CHAMPS ELYSEES;75108;Paris 8e Arrondissement;36218.0;75;00851;Paris;10949158.0;01-Paris;2.0;609.0;50.0;3164.0;46020.0;35847.0;28.378943844673188;De 40 à 50 000 entrées;;NON;NON;;FIXE;NON;C;165.0;86.0;48.0;38.38598234244812;20.324248650845618;16.806286269108316;24.483482737597942;68.0;42.59715040531081;48.872794;2.296984;48.872794, 2.296984
1;1393;LE BRADY;ILE-DE-FRANCE;39 BOULEVARD DE STRASBOURG;75110;Paris 10e Arrondissement;83873.0;75;00851;Paris;10949158.0;01-Paris;2.0;139.0;53.0;4825.0;65331.0;37547.0;73.99792260367006;De 50 à 80 000 entrées;;OUI;A;RDJPPR;FIXE;NON;C;410.0;120.0;4.0;53.41733423255967;15.255045811195366;19.388745414768145;11.938874541476814;325.0;82.93060056256478;48.871771;2.355398;48.871771, 2.355398
1;2251;MAJESTIC PASSY;ILE-DE-FRANCE;18 - 20 RUE DE PASSY;75116;Paris 16e Arrondissement;165118.0;75;00851;Paris;10949158.0;01-Paris;3.0;617.0;51.0;5456.0;116744.0;73590.0;58.64111971735291;De 100 à 150 000 entrées;;NON;NON;;FIXE;NON;C;192.0;93.0;60.0;62.30163342303601;18.601532395776523;13.611858633360452;5.48497554782702;102.0;28.845517697651342;48.858204;2.282104;48.858204, 2.282104
1;5861;MK2 BASTILLE COTE BEAUMARCHAIS;ILE-DE-FRANCE;3 BD R LENOIR 4/6 BD BEAUMARCHAI;75111;Paris 11e Arrondissement;145124.0;75;00851;Paris;10949158.0;01-Paris;4.0;469.0;53.0;8259.0;200406.0;121331.0;65.17295662279219;De 200 à 300 000 entrées;MK2;OUI;A;;FIXE;NON;C;131.0;96.0;65.0;62.58056043800634;18.357678243125847;12.3219589066004;6.7398024122674105;111.0;83.88185142533891;48.854674;2.369381;48.854674, 2.369381
1;6212;MK2 NATION;ILE-DE-FRANCE;133 BOULEVARD DIDEROT;75112;Paris 12e Arrondissement;141275.0;75;00851;Paris;10949158.0;01-Paris;8.0;554.0;53.0;14123.0;304684.0;195764.0;55.638421773155436;De 300 à 450 000 entrées;MK2;NON;NON;;FIXE;OUI;C;194.0;108.0;86.0;63.445312421990195;20.094993060247702;11.755307995193764;4.704386522568341;127.0;50.227830237349515;48.848213;2.39311;48.848213, 2.39311
1;8391;LE CINEMA DU PANTHEON;ILE-DE-FRANCE;13 RUE VICTOR COUSIN;75105;Paris 5e Arrondissement;58050.0;75;00851;Paris;10949158.0;01-Paris;1.0;200.0;53.0;1527.0;16990.0;7675.0;121.36807817589576;De 10 à 20 000 entrées;;OUI;A;;FIXE;NON;C;64.0;16.0;5.0;88.6245572609209;5.047225501770956;4.203069657615112;2.125147579693034;54.0;93.9728453364817;48.847502;2.342301;48.847502, 2.342301
1;8514;EPEE DE BOIS;ILE-DE-FRANCE;100 RUE MOUFFETARD;75105;Paris 5e Arrondissement;58050.0;75;00851;Paris;10949158.0;01-Paris;2.0;140.0;53.0;3470.0;39819.0;23338.0;70.6187333961779;De 30 à 40 000 entrées;;OUI;A;;FIXE;NON;C;202.0;99.0;13.0;68.67555195872639;3.5482157760299433;18.651526263877997;9.12470600136567;145.0;73.08616372878785;48.841535;2.34958;48.841535, 2.34958
1;8531;LE GRAND ACTION;ILE-DE-FRANCE;5 RUE DES ECOLES;75105;Paris 5e Arrondissement;58050.0;75;00851;Paris;10949158.0;01-Paris;3.0;363.0;53.0;4605.0;73786.0;27606.0;167.28247482431357;De 50 à 80 000 entrées;;OUI;A;RDPR;FIXE;NON;C;364.0;30.0;23.0;29.89629377762666;43.39085345120707;17.18803128187691;9.524821489289357;258.0;81.82732630624504;48.847537;2.352122;48.847537, 2.352122
